edges__source,edges__strength,edges__target
10102,0.31640625,10401
10102,0.31640625,10403
10401,0.47265625,41601
10401,0.430664063,41602
10401,0.308646914,42103
10401,0.352539063,42105
10401,0.312279792,42309
10401,0.312279792,52716
10401,0.352539063,63208
10401,0.352539063,63209
10401,0.40495405,63402
10401,0.331499578,73921
10401,0.31640625,73922
10401,0.312279792,73925
10401,0.352539063,94410
10401,0.308646914,104808
10401,0.31640625,136806
10401,0.390625,178716
10401,0.47265625,10403
10401,0.47265625,94415
10201,0.3136,10404
10201,0.31640625,10511
10201,0.4624,10206
10201,0.3136,21108
10201,0.31640625,41602
10404,0.326532245,63823
10404,0.425325709,10405
10404,0.326532245,63501
10404,0.274376916,63507
10302,0.330625,10304
10302,0.402146223,10305
10302,0.418686644,10303
10302,0.36,10307
10302,0.25,20604
10304,0.322135705,10307
10304,0.353537268,115608
10304,0.371807258,10305
10304,0.322135705,10511
10304,0.420746823,41604
10304,0.186995705,42301
10305,0.31469856,10307
10305,0.31469856,41604
10303,0.346026298,10304
10303,0.323340077,10307
10303,0.346026298,41604
10303,0.418686644,10305
10307,0.322135705,41604
10307,0.26369252,41605
10307,0.26369252,52501
10307,0.353537268,115608
41601,0.312279792,41901
41601,0.308646914,42103
41601,0.416231426,42105
41601,0.33802596,42202
41601,0.312279792,42309
41601,0.416231426,63208
41601,0.352539063,63209
41601,0.367308724,63402
41601,0.40495405,73921
41601,0.381491523,73925
41601,0.416231426,94410
41601,0.31820881,104821
41601,0.337154423,104902
41601,0.337154423,136806
41601,0.335183103,136810
41601,0.326532245,157309
41601,0.416231426,157325
41601,0.337154423,157326
41601,0.337154423,157610
41601,0.31640625,157616
41601,0.337154423,158309
41601,0.516601563,41602
41601,0.550474964,94415
41601,0.516601563,178716
41602,0.31640625,42102
41602,0.390625,42105
41602,0.36,42106
41602,0.394270968,42202
41602,0.346026298,42309
41602,0.430664063,63208
41602,0.352539063,63209
41602,0.40495405,63402
41602,0.331499578,73921
41602,0.346026298,73925
41602,0.430664063,94410
41602,0.31640625,94411
41602,0.430664063,94415
41602,0.322135705,94418
41602,0.305399917,104818
41602,0.31640625,157325
41602,0.352539063,157610
41602,0.312279792,168418
41602,0.352539063,178716
41602,0.418686644,41901
42103,0.373455432,42104
42103,0.308646914,42106
42103,0.373455432,42309
42103,0.340273889,63208
42103,0.373455432,63209
42103,0.408180432,63402
42103,0.340273889,73917
42103,0.308646914,94415
42103,0.308646914,104808
42103,0.366339668,104818
42103,0.326532245,104819
42103,0.349174628,157310
42103,0.31820881,157604
42103,0.444448889,104821
42105,0.365601623,42202
42105,0.312279792,42309
42105,0.430664063,63209
42105,0.37564641,63214
42105,0.40495405,63402
42105,0.37564641,63506
42105,0.416231426,73917
42105,0.367308724,73921
42105,0.337154423,94410
42105,0.416231426,94415
42105,0.337154423,104707
42105,0.340273889,104808
42105,0.337154423,115602
42105,0.305399917,136810
42105,0.322828512,157310
42105,0.31820881,157604
42105,0.31640625,178716
42105,0.458897856,63208
42309,0.312279792,63209
42309,0.312279792,94410
42309,0.312279792,94415
42309,0.312279792,104707
42309,0.335183103,104818
42309,0.347793268,104821
42309,0.25,63105
42309,0.381491523,63402
42309,0.25,73915
52716,0.346026298,73925
52716,0.335183103,136810
52716,0.31820881,137010
52716,0.312279792,157217
52716,0.326532245,157309
52716,0.312279792,157616
52716,0.312279792,168432
52716,0.346026298,209403
52716,0.381491523,94415
63208,0.528921653,63402
63208,0.503645702,73917
63208,0.401106889,73920
63208,0.444448889,73921
63208,0.321114889,73922
63208,0.346026298,73925
63208,0.337154423,94415
63208,0.308646914,104808
63208,0.321114889,104811
63208,0.321114889,104817
63208,0.401106889,104902
63208,0.444448889,104911
63208,0.401106889,136806
63208,0.321114889,157325
63208,0.401106889,168428
63208,0.390625,178716
63208,0.66015625,63209
63208,0.49,63214
63208,0.444448889,63506
63208,0.284440889,63814
63208,0.36,104707
63209,0.390625,63214
63209,0.31640625,63405
63209,0.31640625,63506
63209,0.444448889,73921
63209,0.31640625,73922
63209,0.312279792,73925
63209,0.31640625,104707
63209,0.335183103,104818
63209,0.31820881,104821
63209,0.352539063,104902
63209,0.390625,104911
63209,0.31640625,136806
63209,0.326532245,157309
63209,0.37655405,157310
63209,0.31820881,157604
63209,0.390625,178716
63209,0.528921653,63402
63209,0.516601563,73917
63402,0.40495405,73917
63402,0.40495405,73921
63402,0.381491523,73925
63402,0.373455432,104808
63402,0.335183103,104818
63402,0.31820881,104821
63402,0.331499578,104911
63402,0.36,157309
63402,0.40495405,157310
63402,0.410919461,157604
63402,0.312279792,168418
63402,0.331499578,178716
63402,0.31820881,209406
63402,0.331499578,157215
73921,0.346026298,73925
73921,0.340273889,104808
73921,0.366339668,104818
73921,0.367308724,104902
73921,0.366339668,136810
73921,0.43183298,157309
73921,0.349174628,157310
73921,0.367308724,157326
73921,0.378692544,157604
73921,0.331499578,157610
73921,0.367308724,157616
73921,0.312279792,168418
73921,0.331499578,168428
73921,0.347793268,209406
73921,0.221454948,116309
73921,0.444448889,178716
73922,0.36,104817
73922,0.305399917,136810
73922,0.385256076,157314
73922,0.304394958,157320
73922,0.385256076,157325
73922,0.343642164,157610
73922,0.31640625,157616
73922,0.31640625,178716
73922,0.36,209403
73922,0.385256076,157326
73925,0.381491523,94410
73925,0.457611661,94415
73925,0.420746823,94418
73925,0.312279792,94421
73925,0.381491523,104817
73925,0.335183103,104818
73925,0.31820881,104821
73925,0.432819252,136810
73925,0.31820881,137010
73925,0.36,157306
73925,0.383222903,157308
73925,0.395100245,157309
73925,0.322828512,157310
73925,0.312279792,157321
73925,0.381491523,157325
73925,0.418686644,157326
73925,0.31820881,157604
73925,0.457611661,157610
73925,0.457611661,157616
73925,0.312279792,168501
73925,0.31469856,168544
73925,0.457611661,178716
73925,0.457611661,209403
73925,0.418686644,168418
73925,0.479293136,209406
94410,0.37564641,104817
94410,0.337154423,136809
94410,0.305399917,136810
94410,0.326532245,157306
94410,0.326532245,157309
94410,0.37564641,157325
94410,0.416231426,157610
94410,0.31640625,157616
94410,0.346026298,168418
94410,0.31640625,178716
94410,0.458897856,94411
94410,0.550474964,94415
104808,0.350274586,104819
104808,0.366339668,136810
104808,0.340273889,157306
104808,0.340273889,157309
104808,0.349174628,157310
104808,0.31820881,157604
104808,0.308646914,168418
136806,0.319473648,137007
136806,0.37051569,137008
136806,0.319473648,157322
136806,0.351162908,157326
136806,0.36861898,157610
136806,0.37051569,168416
136806,0.332836686,168431
136806,0.332836686,168432
136806,0.37051569,168433
136806,0.319473648,168436
136806,0.37051569,168530
136806,0.319473648,178701
136806,0.37051569,137019
136806,0.483928923,168428
136806,0.47265625,178716
178716,0.352539063,209403
178716,0.444448889,209406
10403,0.430664063,41601
10403,0.430664063,41602
10403,0.390625,42105
10403,0.390625,63208
10403,0.31640625,63209
10403,0.331499578,63402
10403,0.367308724,73921
10403,0.312279792,73925
10403,0.430664063,94410
10403,0.352539063,94415
10403,0.31640625,136806
10403,0.366339668,136810
10403,0.31640625,157325
10403,0.31640625,158309
10403,0.352539063,178716
10403,0.444448889,10406
94415,0.386411424,94418
94415,0.337154423,94421
94415,0.340273889,104808
94415,0.337154423,104817
94415,0.31820881,104821
94415,0.337154423,136806
94415,0.366339668,136810
94415,0.326532245,157306
94415,0.326532245,157308
94415,0.326532245,157309
94415,0.322828512,157310
94415,0.416231426,157326
94415,0.416231426,157610
94415,0.352539063,157616
94415,0.37564641,168432
94415,0.337154423,178607
94415,0.390625,178716
94415,0.416231426,209403
94415,0.31820881,209406
94415,0.458897856,157325
136810,0.305399917,136910
136810,0.335183103,157306
136810,0.40495405,157310
136810,0.398893296,157325
136810,0.305399917,157326
136810,0.444448889,157604
136810,0.335183103,157610
136810,0.335183103,157616
136810,0.402146223,168544
136810,0.398893296,178716
136810,0.432819252,209403
136810,0.335183103,157217
136810,0.510210204,157308
136810,0.504852881,157309
136810,0.515452203,209406
157325,0.429247729,157610
157325,0.430664063,157616
157325,0.343642164,157907
157325,0.304394958,158309
157325,0.343642164,168417
157325,0.304394958,168501
157325,0.304394958,168503
157325,0.343642164,168504
157325,0.304394958,168546
157325,0.304394958,178607
157325,0.390625,178716
157325,0.444448889,209403
157325,0.52437874,157326
63823,0.36,168434
10406,0.367308724,41602
10406,0.36,41806
10406,0.312279792,41901
10406,0.331499578,42105
10406,0.308646914,104808
41806,0.322135705,42007
41806,0.308646914,42103
41806,0.340273889,42104
41806,0.326532245,42105
41806,0.31152026,42202
41806,0.326532245,42309
41806,0.326532245,73921
41806,0.326532245,94415
41806,0.335183103,104818
41806,0.326532245,104819
41806,0.398893296,136810
41806,0.36,157309
41806,0.349174628,157310
41806,0.326532245,157325
41806,0.347793268,157604
41806,0.454842336,41905
41806,0.482246914,104808
41901,0.308646914,42104
41901,0.312279792,42105
20702,0.308646914,20704
20702,0.332836686,20706
20702,0.444448889,20707
20704,0.308646914,20808
20704,0.23182299,20705
20704,0.444448889,20706
20704,0.396433937,20809
20703,0.31640625,20712
20703,0.297515703,20713
20703,0.326532245,20806
20712,0.308646914,116207
20712,0.31640625,20809
20808,0.308646914,20813
20808,0.548695748,20809
20808,0.340273889,42204
20709,0.365601623,41905
20709,0.354310658,42005
20709,0.326532245,42008
20709,0.31152026,42202
20709,0.354310658,20804
20709,0.354310658,20807
20709,0.274376916,20810
20709,0.365601623,42009
41905,0.33802596,42007
41905,0.365601623,42009
41905,0.394270968,42103
41905,0.33802596,42104
41905,0.394270968,42105
41905,0.31152026,42106
41905,0.31152026,42309
41905,0.31152026,63209
41905,0.31152026,63402
41905,0.31152026,73917
41905,0.31769005,73923
41905,0.33802596,104808
41905,0.394270968,104818
41905,0.453561841,104819
41905,0.365601623,104821
41905,0.365601623,136810
41905,0.31152026,157309
41905,0.33802596,157604
41905,0.394270968,42005
41905,0.553818756,42202
41905,0.365601623,42402
41905,0.496390703,157310
42005,0.378692544,42007
42005,0.365601623,42009
42005,0.31820881,42104
42005,0.347793268,104818
42005,0.31469856,116109
42005,0.31820881,116114
42005,0.31820881,116202
42005,0.37655405,157310
42005,0.31820881,157604
42005,0.378692544,42008
42008,0.33802596,42009
42008,0.31820881,116114
42008,0.287928828,42401
42202,0.33802596,42402
42202,0.31152026,63402
42202,0.31152026,73921
42202,0.31152026,73925
42202,0.33802596,94410
42202,0.31152026,94415
42202,0.31152026,104808
42202,0.33802596,104818
42202,0.350274586,104819
42202,0.31152026,157308
42202,0.434399628,157310
42202,0.31152026,157604
42202,0.31152026,168418
116207,0.408180432,116209
116207,0.340273889,116210
116207,0.49378729,116211
116207,0.482246914,116212
116207,0.340273889,116217
116207,0.340273889,116302
116207,0.340273889,126403
116207,0.340273889,126405
116207,0.340273889,126406
116207,0.648926914,116208
20804,0.342658037,20807
20806,0.332836686,20808
20806,0.396433937,20809
20806,0.289939172,42002
20806,0.215565204,52607
20806,0.213019172,219706
20811,0.331499578,94415
20811,0.305399917,136810
20811,0.308646914,136910
20811,0.347793268,42001
136910,0.340273889,157306
136910,0.308646914,168418
136910,0.342658037,168544
20910,0.31469856,116103
20910,0.349174628,116106
20910,0.330015781,116108
20910,0.31469856,116109
20910,0.344522042,116204
20910,0.31469856,116209
20910,0.371807258,116104
116103,0.647831814,116104
116103,0.5625,116106
116103,0.464878512,116107
116103,0.463556723,116108
116103,0.57168721,116109
116103,0.322135705,116115
116103,0.373455432,116117
116103,0.322135705,116202
116103,0.346026298,116203
116103,0.454154688,116204
116103,0.604941728,116205
116103,0.49378729,116206
116103,0.521601728,116208
116103,0.521601728,116209
116103,0.340273889,116210
116103,0.532505873,116211
116103,0.482246914,116212
116103,0.373455432,116217
116103,0.308646914,116302
116103,0.340273889,126405
116103,0.754153296,116105
116103,0.754153296,116110
116103,0.790125432,116111
116103,0.623262881,116114
116103,0.694438889,116207
116106,0.669418512,116107
116106,0.619731073,116108
116106,0.707129628,116109
116106,0.597111653,116110
116106,0.528921653,116111
116106,0.528921653,116114
116106,0.37655405,116117
116106,0.349174628,116202
116106,0.498266574,116203
116106,0.612478412,116204
116106,0.496390703,116205
116106,0.5625,116206
116106,0.464878512,116207
116106,0.434399628,116208
116106,0.40495405,116209
116106,0.434399628,116211
116106,0.349174628,116212
116106,0.322828512,116217
116106,0.37655405,116305
116108,0.688551444,116109
116108,0.463556723,116110
116108,0.463556723,116111
116108,0.354906148,116112
116108,0.40742689,116114
116108,0.40742689,116115
116108,0.306019176,116117
116108,0.306019176,116202
116108,0.52633574,116203
116108,0.586694722,116204
116108,0.435032585,116205
116108,0.435032585,116206
116108,0.52330756,116207
116108,0.463556723,116208
116108,0.306019176,116209
116108,0.463556723,116211
116108,0.463556723,116212
116108,0.354906148,116305
116108,0.38071368,168544
116109,0.57168721,116110
116109,0.57168721,116111
116109,0.402146223,116112
116109,0.500301582,116114
116109,0.402146223,116115
116109,0.433674932,116117
116109,0.342658037,116201
116109,0.402146223,116202
116109,0.52633574,116203
116109,0.546313157,116204
116109,0.535399524,116205
116109,0.57168721,116206
116109,0.60916464,116207
116109,0.535399524,116208
116109,0.342658037,116209
116109,0.535399524,116211
116109,0.433674932,116212
116109,0.31469856,116217
116109,0.31469856,116302
116109,0.342658037,126403
116109,0.31469856,126405
116109,0.31469856,126406
116109,0.371807258,168544
116109,0.454842336,116305
116204,0.397441985,116205
116204,0.578923157,116206
116204,0.397441985,116207
116204,0.483928923,116208
116204,0.37051569,116209
116204,0.483928923,116211
116204,0.319473648,116212
116204,0.344522042,116305
116204,0.37051569,126405
116204,0.319473648,126406
116204,0.344522042,157308
116204,0.344522042,168544
116209,0.337154423,116210
116209,0.322135705,116211
116209,0.36,116212
116209,0.31640625,116302
116209,0.234130177,178904
21101,0.308646914,52523
21101,0.284440889,42302
21101,0.308646914,63401
52523,0.308646914,63401
52523,0.36,73923
52523,0.329556365,116108
52523,0.351162908,116203
52523,0.329556365,116204
52523,0.308646914,157310
52523,0.304394958,157404
52523,0.373455432,104819
21205,0.308646914,168403
21205,0.340273889,31514
168403,0.308646914,168416
168403,0.308646914,168419
168403,0.373455432,168433
168403,0.36,168434
168403,0.335183103,168462
168403,0.335183103,168466
168403,0.308646914,178603
168403,0.308646914,178605
168403,0.25,178601
21211,0.340273889,116108
21211,0.323340077,116203
21211,0.340273889,116204
21211,0.365021389,116305
116203,0.393693503,116205
116203,0.444448889,116206
116203,0.346026298,116207
116203,0.369469466,116208
116203,0.418686644,116211
116203,0.393693503,116305
116203,0.323340077,126406
116203,0.304394958,157404
116203,0.323340077,168544
116203,0.615142176,116204
31514,0.3136,63214
31514,0.337154423,94415
31514,0.340273889,136806
31514,0.340273889,137008
63214,0.36,63506
63214,0.416231426,73917
63214,0.331499578,73921
63214,0.346026298,73925
63214,0.3136,104811
63214,0.378692544,104902
63214,0.396433937,104911
63214,0.3136,115603
63214,0.3136,137008
63214,0.304394958,157325
63214,0.351162908,157326
63214,0.326532245,157610
63214,0.4096,168428
63214,0.3136,168434
63214,0.3136,168438
63214,0.3136,178701
63214,0.430664063,178716
63214,0.3136,178903
63214,0.4624,136806
104821,0.31820881,137010
104821,0.347793268,157309
104821,0.40495405,157310
104821,0.31820881,157604
104821,0.347793268,209406
104902,0.351162908,104911
104902,0.332836686,115602
104902,0.395100245,157309
104902,0.343642164,157325
104902,0.396433937,157326
104902,0.36861898,157610
104902,0.332836686,168428
104902,0.332836686,168474
104902,0.352539063,178716
104902,0.479293136,136806
104902,0.36861898,158309
104902,0.378692544,168438
157309,0.37655405,157310
157309,0.395100245,157325
157309,0.395100245,157326
157309,0.347793268,157604
157309,0.36,157610
157309,0.395100245,157616
157309,0.342658037,168544
157309,0.395100245,209403
157309,0.444448889,209406
157309,0.510210204,178716
157326,0.351162908,157907
157326,0.308646914,158205
157326,0.351162908,158301
157326,0.396433937,158302
157326,0.326532245,158311
157326,0.308646914,168403
157326,0.308646914,168417
157326,0.308646914,168438
157326,0.308646914,168466
157326,0.36861898,168501
157326,0.396433937,168503
157326,0.351162908,168536
157326,0.351162908,168537
157326,0.36861898,168546
157326,0.351162908,178607
157326,0.308646914,178708
157326,0.430664063,178716
157326,0.351162908,209401
157326,0.49,209403
157326,0.308646914,209405
157326,0.31820881,209406
157326,0.5625,157610
157326,0.516601563,157616
157326,0.396433937,168431
157326,0.444448889,168432
157326,0.351162908,168474
157610,0.352539063,157616
157610,0.326532245,157907
157610,0.346026298,168418
157610,0.326532245,168432
157610,0.326532245,168546
157610,0.430664063,178716
157610,0.347793268,209406
157610,0.537772889,209403
157616,0.31640625,157907
157616,0.31640625,158302
157616,0.312279792,168418
157616,0.352539063,168501
157616,0.31640625,168503
157616,0.390625,168536
157616,0.352539063,168546
157616,0.390625,178716
157616,0.31640625,209401
157616,0.430664063,209403
157616,0.31820881,209406
157616,0.31640625,189028
42106,0.33802596,42202
42106,0.326532245,42309
42106,0.326532245,63208
42106,0.36,63209
42106,0.36,63402
42106,0.36,73917
42106,0.335183103,104818
42106,0.31820881,157604
94411,0.36,104817
94411,0.304394958,157610
94411,0.36,209403
94418,0.354310658,157308
94418,0.322135705,157309
94418,0.322135705,157326
94418,0.353537268,157610
94418,0.420746823,209403
94418,0.378692544,209406
94418,0.432819252,136810
104818,0.326532245,104819
104818,0.305399917,157309
104818,0.464878512,157310
104818,0.305399917,157612
104818,0.366339668,168418
104818,0.347793268,209406
104818,0.468143324,136810
104818,0.479293136,157604
168418,0.342658037,168544
41704,0.37051569,41905
41704,0.344522042,42001
41704,0.319473648,42005
41704,0.344522042,63401
41704,0.319473648,104818
41704,0.350274586,104819
41704,0.344522042,116305
41704,0.397441985,157310
41704,0.397441985,42009
41704,0.425325709,42202
42001,0.347793268,42007
42001,0.31820881,42008
42001,0.342658037,116109
42001,0.33802596,116305
42001,0.31820881,136910
42001,0.31820881,137010
42001,0.31469856,168544
42001,0.410919461,42005
63401,0.322828512,157310
104819,0.374837818,104821
104819,0.326532245,116108
104819,0.374837818,116204
104819,0.350274586,136810
104819,0.350274586,157308
104819,0.304394958,157404
104819,0.343642164,157602
104819,0.400246023,157604
104819,0.444448889,116203
104819,0.539769396,157310
116305,0.31152026,209404
157310,0.349174628,168544
157310,0.322828512,178716
157310,0.40495405,209406
157310,0.5625,157604
41803,0.398893296,41805
41803,0.468143324,41804
42007,0.347793268,42008
42007,0.394270968,42009
42007,0.322135705,42104
42007,0.322135705,42105
42007,0.31152026,42202
42007,0.353537268,63402
42007,0.353537268,73921
42007,0.322135705,104808
42007,0.335183103,104818
42007,0.31820881,137010
42007,0.40495405,157310
42007,0.386411424,42106
42007,0.410919461,157604
42104,0.31152026,42202
42104,0.308646914,63209
42104,0.340273889,63402
42104,0.308646914,73917
42104,0.308646914,73921
42104,0.340273889,104808
42104,0.366339668,104818
42104,0.326532245,104819
42104,0.349174628,157310
42104,0.347793268,157604
42104,0.408180432,42106
157604,0.347793268,157616
157604,0.347793268,168418
157604,0.371807258,168544
157604,0.31820881,178716
157604,0.444448889,209406
41904,0.308646914,42103
41904,0.312279792,42309
41904,0.31640625,42102
41904,0.31640625,63209
42009,0.31152026,42106
42009,0.365601623,42202
42009,0.349174628,157310
42009,0.349174628,63401
73917,0.40495405,73921
73917,0.337154423,73922
73917,0.346026298,73925
73917,0.305399917,104818
73917,0.335183103,136810
73917,0.326532245,157309
73917,0.390625,157616
73917,0.31640625,178716
73923,0.31769005,116203
73923,0.428435703,157310
73923,0.343642164,157404
73923,0.502808628,104819
73923,0.428435703,104821
73923,0.385256076,157602
137010,0.349174628,157310
137010,0.31820881,209404
137010,0.354310658,157308
168544,0.31469856,209403
168544,0.342658037,209406
116114,0.335183103,116115
116114,0.366339668,116202
116114,0.369469466,116203
116114,0.425325709,116204
116114,0.468143324,116205
116114,0.468143324,116206
116114,0.504852881,116207
116114,0.432819252,116208
116114,0.366339668,116209
116114,0.305399917,116210
116114,0.542933186,116211
